candidate_index,episode,risk_offset_x_m,risk_offset_y_m,safe_candidate_index,safe_offset_x_m,safe_offset_y_m,passed,native_success,occupant_max_relative_drift_m,occupant_max_relative_rotation_deg,target_min_occupant_clearance_m,target_max_tilt_deg,target_max_linear_speed_m_s,target_max_angular_speed_rad_s,target_full_window_inside,target_full_window_support,target_full_window_finite,target_final_stable_streak
2,4,-0.005,-0.01,4,-0.038891,0.038891,0,0,0.002912789455211896,5.212398318355192,0.07356801858490031,83.45173294465518,5.822720398034348e-07,1.269068413272278e-05,1,1,1,0
2,5,-0.005,-0.01,4,-0.038891,0.038891,0,0,0.00291278945518436,5.21239831827215,0.07356801858460363,83.45173294503007,5.82272037596712e-07,1.2690684106214875e-05,1,1,1,0
2,6,-0.005,-0.01,4,-0.038891,0.038891,0,0,0.002912789455185296,5.212398315919925,0.07356801858823678,83.45173294348196,5.822720374225646e-07,1.2690684155265134e-05,1,1,1,0
2,7,-0.005,-0.01,4,-0.038891,0.038891,0,0,0.002912789455195077,5.2123983189201075,0.07356801858410385,83.45173294540223,5.822720425681258e-07,1.2690684069934992e-05,1,1,1,0
2,0,-0.005,-0.01,5,0.0,-0.055,0,0,0.04885523293711837,29.420505766877636,0.08106834998795859,90.28139589728787,2.1551919686007853e-07,5.335060499488095e-06,1,1,1,0
2,1,-0.005,-0.01,5,0.0,-0.055,0,0,0.04885523293713549,29.420505766906988,0.08106834998703674,90.28139589864558,2.1551919633270926e-07,5.335060476180825e-06,1,1,1,0
2,2,-0.005,-0.01,5,0.0,-0.055,0,0,0.04885523293713793,29.420505766910555,0.08106834998702839,90.28139589878819,2.1551919925691642e-07,5.335060535877227e-06,1,1,1,0
2,3,-0.005,-0.01,5,0.0,-0.055,0,0,0.04885523293714076,29.42050576691333,0.08106834998643642,90.28139586927085,2.1551919907785386e-07,5.335060527994681e-06,1,1,1,0
2,4,-0.005,-0.01,5,0.0,-0.055,0,0,0.048855232937203466,29.420505766995475,0.0810683499871101,90.28139590028383,2.1551919701813912e-07,5.3350605038519495e-06,1,1,1,0
2,5,-0.005,-0.01,5,0.0,-0.055,0,0,0.04885523293719576,29.420505766981933,0.08106834998696638,90.28139589913725,2.1551919753012458e-07,5.3350605260456705e-06,1,1,1,0
2,6,-0.005,-0.01,5,0.0,-0.055,0,0,0.04885523293717798,29.420505766953728,0.08106834998831565,90.28139589695117,2.1551919651392772e-07,5.335060491303512e-06,1,1,1,0
2,7,-0.005,-0.01,5,0.0,-0.055,0,0,0.04885523293715206,29.4205057669256,0.08106834998862149,90.2813958952654,2.1551919935194118e-07,5.335060539251654e-06,1,1,1,0
2,0,-0.005,-0.01,6,-0.055,0.0,0,1,0.03533399782400091,18.648950360340876,0.06901788423987694,89.9995136773797,4.9274621450159966e-08,7.511706609976756e-07,1,1,1,0
2,1,-0.005,-0.01,6,-0.055,0.0,0,1,0.03533399781835677,18.648950360327273,0.0690262093480502,89.99951392295702,4.916348249735986e-08,7.494310364827769e-07,1,1,1,0
2,2,-0.005,-0.01,6,-0.055,0.0,0,1,0.03533399783186505,18.648950360343584,0.0689278265520542,89.99951158284368,5.047077878068871e-08,7.695928509731915e-07,1,1,1,0
2,3,-0.005,-0.01,6,-0.055,0.0,0,1,0.03533399783869498,18.648950360356313,0.06902825895392217,89.99951396693126,4.913373973023421e-08,7.489610496137346e-07,1,1,1,0
2,4,-0.005,-0.01,6,-0.055,0.0,0,1,0.03533399783744214,18.64895036035377,0.06902825227697687,89.99951396681669,4.913389829387884e-08,7.489633955459259e-07,1,1,1,0
2,5,-0.005,-0.01,6,-0.055,0.0,0,1,0.035333997827502316,18.6489503603361,0.06902784170486596,89.99951395738142,4.9139432541425544e-08,7.490494207945981e-07,1,1,1,0
2,6,-0.005,-0.01,6,-0.055,0.0,0,1,0.03533399785575016,18.648950360376165,0.06902742836347471,89.99951394718187,4.914531502695542e-08,7.49140506825308e-07,1,1,1,0
2,7,-0.005,-0.01,6,-0.055,0.0,0,1,0.0353339978475155,18.64895036036662,0.06902803437452311,89.99951396186304,4.913674632686344e-08,7.490076664954371e-07,1,1,1,0
2,0,-0.005,-0.01,7,-0.038891,-0.038891,0,0,0.07547451069406179,56.80002046763468,0.7123102449599606,179.99916174905098,5.655037541994311e-16,5.5547324677405026e-15,0,0,1,0
2,1,-0.005,-0.01,7,-0.038891,-0.038891,0,0,0.07547451070409056,56.800020469624535,0.7071196969958526,89.99999765164898,1.0896885325217586e-15,3.713692883748533e-14,0,0,1,0
2,2,-0.005,-0.01,7,-0.038891,-0.038891,0,0,0.07547451069686437,56.800020466373056,0.8073526046634735,0.0008382509489997679,4.956462434773111e-16,3.0296466294076483e-15,0,0,1,0
2,3,-0.005,-0.01,7,-0.038891,-0.038891,0,0,0.07547451069688348,56.80002046529561,0.6877300062249286,179.99916174905098,5.413678859977097e-16,2.9138803912429327e-15,0,0,1,0
2,4,-0.005,-0.01,7,-0.038891,-0.038891,0,0,0.07547451070015643,56.80002046585282,0.6980462989275786,179.99916176296446,5.613382562218935e-16,4.23804935884223e-15,0,0,1,0
2,5,-0.005,-0.01,7,-0.038891,-0.038891,0,0,0.07547451069825958,56.80002046542735,0.8210507602202252,179.99916175252935,6.372997105447209e-16,4.863730062815315e-15,0,0,1,0
2,6,-0.005,-0.01,7,-0.038891,-0.038891,0,0,0.0754745106999005,56.80002046786828,0.6732860488752747,179.99916174731183,6.859868564771448e-16,5.283294421248679e-15,0,0,1,0
2,7,-0.005,-0.01,7,-0.038891,-0.038891,0,0,0.07547451069506964,56.80002046664962,0.7163912141429128,179.99916174731183,6.865453795769407e-16,4.496134344052212e-15,0,0,1,0
3,0,-0.005,0.0,0,0.038891,0.038891,0,1,0.029181976224612095,13.744243168232574,0.05739984979346671,90.0005528724305,6.844619411148416e-12,1.576952201634159e-13,1,1,1,0
3,1,-0.005,0.0,0,0.038891,0.038891,0,1,0.029181976224633435,13.744243168253401,0.05739984979340988,90.0005528724305,6.845301400440919e-12,1.643290473252768e-13,1,1,1,0
3,2,-0.005,0.0,0,0.038891,0.038891,0,1,0.029181976224675686,13.744243168291794,0.05739984979335798,90.00055287243048,6.8457752220725585e-12,1.5787343764931125e-13,1,1,1,0
